0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/gr4.jpg HTTP/1.1" 200 170811
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/products/7 HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/np3.jpg HTTP/1.1" 200 83680
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/np1.jpg HTTP/1.1" 200 83393
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/np4.jpg HTTP/1.1" 200 139462
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/np2.jpg HTTP/1.1" 200 40652
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:35:28 +0530] "GET /a1ecommerce/assets/images/np5.jpg HTTP/1.1" 200 195382
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/css/app.css HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/js/app.js HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/css/bootstrap.css HTTP/1.1" 200 154230
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/assets/js/jquery-2.1.3.min.js HTTP/1.1" 200 84324
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/categories HTTP/1.1" 200 52961
0:0:0:0:0:0:0:1 - - [12/Oct/2015:10:50:04 +0530] "GET /a1ecommerce/products/1 HTTP/1.1" 200 5498
